Flight No.,Version Booster,Launch site,Payload,Orbit,Customer,Launch outcome,Payload mass,Booster landing,Date,Time
1,F9 v1.0B0003.1,CCAFS,Dragon Spacecraft Qualification Unit,LEO,SpaceX,"Success
",0,Failure,4 June 2010,18:45
2,F9 v1.0B0004.1,CCAFS,Dragon,LEO,"NASA (COTS)
NRO",Success,0,Failure,8 December 2010,15:43
3,F9 v1.0B0005.1,CCAFS,Dragon,LEO,NASA (COTS),Success,525 kg,"No attempt
",22 May 2012,07:44
4,F9 v1.0B0006.1,CCAFS,SpaceX CRS-1,LEO,NASA (CRS),"Success
","4,700 kg",No attempt,8 October 2012,00:35
5,F9 v1.0B0007.1,CCAFS,SpaceX CRS-2,LEO,NASA (CRS),"Success
","4,877 kg","No attempt
",1 March 2013,15:10
6,F9 v1.1B1003,VAFB,CASSIOPE,Polar orbit,MDA,Success,500 kg,Uncontrolled,29 September 2013,16:00
7,F9 v1.1,CCAFS,SES-8,GTO,SES,Success,"3,170 kg",No attempt,3 December 2013,22:41
8,F9 v1.1,CCAFS,Thaicom 6,GTO,Thaicom,Success,"3,325 kg",No attempt,6 January 2014,22:06
9,F9 v1.1,Cape Canaveral,SpaceX CRS-3,LEO,NASA (CRS),"Success
","2,296 kg",Controlled,18 April 2014,19:25
10,F9 v1.1,Cape Canaveral,Orbcomm-OG2,LEO,Orbcomm,Success,"1,316 kg",Controlled,14 July 2014,15:15
11,F9 v1.1,Cape Canaveral,AsiaSat 8,GTO,AsiaSat,Success,"4,535 kg",No attempt,5 August 2014,08:00
12,F9 v1.1,Cape Canaveral,AsiaSat 6,GTO,AsiaSat,Success,"4,428 kg","No attempt
",7 September 2014,05:00
13,F9 v1.1,Cape Canaveral,SpaceX CRS-4,LEO,NASA (CRS),Success,"2,216 kg",Uncontrolled,21 September 2014,05:52
14,F9 v1.1,Cape Canaveral,SpaceX CRS-5,LEO,NASA (CRS),Success,"2,395 kg",Failure ,10 January 2015,09:47
15,F9 v1.1,Cape Canaveral,DSCOVR,HEO,"USAF
NASA
NOAA","Success
",570 kg,Controlled,11 February 2015,23:03
16,F9 v1.1,Cape Canaveral,ABS-3A,GTO,"ABS
Eutelsat","Success
","4,159 kg",No attempt,2 March 2015,03:50
17,F9 v1.1,Cape Canaveral,SpaceX CRS-6,LEO,NASA (CRS),"Success
","1,898 kg",Failure,14 April 2015,20:10
18,F9 v1.1,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,GTO,Turkmenistan NationalSpace Agency[88],"Success
","4,707 kg",No attempt,27 April 2015,23:03
19,F9 v1.1,Cape Canaveral,SpaceX CRS-7,LEO,NASA (CRS),Failure,"1,952 kg",Precluded,28 June 2015,14:21
20,F9 FT,Cape Canaveral,Orbcomm-OG2,LEO,Orbcomm,"Success
","2,034 kg",Success,22 December 2015,01:29
21,F9 v1.1,VAFB,Jason-3,LEO,"NASA (LSP)
NOAA
CNES","Success
",553 kg,Failure,17 January 2016,18:42
22,F9 FT,Cape Canaveral,SES-9,GTO,SES,"Success
","5,271 kg",Failure,4 March 2016,23:35
23,F9 FT,Cape Canaveral,SpaceX CRS-8,LEO,NASA (CRS),Success,"3,136 kg",Success,8 April 2016,20:43
24,F9 FT,Cape Canaveral,JCSAT-14,GTO,SKY Perfect JSAT Group,"Success
","4,696 kg",Success,6 May 2016,05:21
25,F9 FT,Cape Canaveral,Thaicom 8,GTO,Thaicom,"Success
","3,100 kg",Success,27 May 2016,21:39
26,F9 FT,Cape Canaveral,ABS-2A,GTO,"ABS
Eutelsat","Success
","3,600 kg",Failure,15 June 2016,14:29
27,F9 FT,Cape Canaveral,SpaceX CRS-9,LEO,NASA (CRS),"Success
","2,257 kg",Success,18 July 2016,04:45
28,F9 FT,Cape Canaveral,JCSAT-16,GTO,SKY Perfect JSAT Group,"Success
","4,600 kg",Success,14 August 2016,05:26
29,F9 FT,VAFB,Iridium NEXT,Polar,Iridium Communications,"Success
","9,600 kg",Success,14 January 2017,17:54
30,F9 FT,KSC,SpaceX CRS-10,LEO,NASA (CRS),"Success
","2,490 kg",Success,19 February 2017,14:39
31,F9 FT,KSC,EchoStar 23,GTO,EchoStar,"Success
","5,600 kg",No attempt,16 March 2017,06:00
32,F9 FT♺,KSC,SES-10,GTO,SES,Success,"5,300 kg",Success,30 March 2017,22:27
33,F9 FT,KSC,NROL-76,LEO,NRO,"Success
",C,Success,1 May 2017,11:15
34,F9 FT,KSC,Inmarsat-5 F4,GTO,Inmarsat,"Success
","6,070 kg",No attempt,15 May 2017,23:21
35,F9 FT,KSC,SpaceX CRS-11,LEO,NASA (CRS),"Success
","2,708 kg",Success,3 June 2017,21:07
36,F9 FTB1029.2,KSC,BulgariaSat-1,GTO,Bulsatcom,"Success
","3,669 kg",Success,23 June 2017,19:10
37,F9 FT,VAFB,Iridium NEXT,LEO,Iridium Communications,"Success
","9,600 kg",Success,25 June 2017,20:25
38,F9 FT,KSC,Intelsat 35e,GTO,Intelsat,"Success
","6,761 kg",No attempt,5 July 2017,23:38
39,F9 B4,KSC,SpaceX CRS-12,LEO,NASA (CRS),"Success
","3,310 kg",Success,14 August 2017,16:31
40,F9 FT,VAFB,Formosat-5,SSO,NSPO,"Success
",475 kg,Success,24 August 2017,18:51
41,F9 B4,KSC,Boeing X-37B,LEO,USAF,"Success
","4,990 kg",Success,7 September 2017,14:00
42,F9 B4,VAFB,Iridium NEXT,Polar,Iridium Communications,"Success
","9,600 kg",Success,9 October 2017,12:37
43,F9 FTB1031.2,KSC,SES-11,GTO,"SES S.A.
EchoStar","Success
","5,200 kg",Success,11 October 2017,22:53:00
44,F9 B4,KSC,Koreasat 5A,GTO,KT Corporation,"Success
","3,500 kg",Success,30 October 2017,19:34
45,F9 FTB1035.2,Cape Canaveral,SpaceX CRS-13,LEO,NASA (CRS),"Success
","2,205 kg",Success,15 December 2017,15:36
46,F9 FTB1036.2,VAFB,Iridium NEXT,Polar,Iridium Communications,Success,"9,600 kg",Controlled,23 December 2017,01:27
47,F9 B4,CCAFS,Zuma,LEO,Northrop Grumman [f][238],Success,C,Success,8 January 2018,01:00
48,F9 FTB1032.2,CCAFS,GovSat-1,GTO,SES,Success,"4,230 kg",Controlled,31 January 2018,21:25
49,F9 FTB1038.2,VAFB,Paz,SSO,"Hisdesat
exactEarth
SpaceX",Success,"2,150 kg",No attempt,22 February 2018,14:17
50,F9 B4,CCAFS,Hispasat 30W-6,GTO,"Hispasat[277]
NovaWurks",Success,"6,092 kg",No attempt,6 March 2018,05:33
51,F9 B4B1041.2,VAFB,Iridium NEXT,Polar,Iridium Communications,Success,"9,600 kg",No attempt,30 March 2018,14:14
52,F9 B4B1039.2,CCAFS,SpaceX CRS-14,LEO,NASA (CRS),Success,"2,647 kg",No attempt,2 April 2018,20:30
53,F9 B4,CCAFS,Transiting Exoplanet Survey Satellite,HEO,NASA (LSP),Success,362 kg,Success,18 April 2018,22:51
54,F9 B5B1046.1,KSC,Bangabandhu-1,GTO,Thales-Alenia / BTRC,Success,"3,600 kg",Success,11 May 2018,20:14
55,F9 B4B1043.2,VAFB,Iridium NEXT,Polar,"Iridium Communications
GFZ • NASA",Success,"6,460 kg",No attempt,22 May 2018,19:47
56,F9 B4B1040.2,CCAFS,SES-12,GTO,SES,Success,"5,384 kg",No attempt,4 June 2018,04:45
57,F9 B4B1045.2,CCAFS,SpaceX CRS-15,LEO,NASA (CRS),Success,"2,697 kg",No attempt,29 June 2018,09:42
58,F9 B5,CCAFS,Telstar 19V,GTO,Telesat,Success,"7,075 kg",Success,22 July 2018,05:50
59,F9 B5B1048,VAFB,Iridium NEXT,Polar,Iridium Communications,Success,"9,600 kg",Success,25 July 2018,11:39
60,F9 B5B1046.2,CCAFS,Merah Putih,GTO,Telkom Indonesia,Success,"5,800 kg",Success,7 August 2018,05:18
61,F9 B5,CCAFS,Telstar 18V,GTO,Telesat,Success,"7,060 kg",Success,10 September 2018,04:45
62,F9 B5B1048.2,VAFB,SAOCOM 1A,SSO,CONAE,Success,"3,000 kg",Success,8 October 2018,02:22
63,F9 B5B1047.2,KSC,Es'hail 2,GTO,Es'hailSat,Success,"5,300 kg",Success,15 November 2018,20:46
64,F9 B5B1046.3,VAFB,SSO-A,SSO,Spaceflight Industries,Success,"~4,000 kg",Success,3 December 2018,18:34:05
65,F9 B5,CCAFS,SpaceX CRS-16,LEO,NASA (CRS),"Success
","2,500 kg",Failure,5 December 2018,18:16
66,F9 B5,CCAFS,GPS III,MEO,USAF,Success,"4,400 kg",No attempt,23 December 2018,13:51
67,F9 B5B1049.2,VAFB,Iridium NEXT,Polar,Iridium Communications,"Success
","9,600 kg",Success,11 January 2019,15:31
68,F9 B5B1048.3,CCAFS,Nusantara Satu,GTO,"PSN
SpaceIL / IAI
Air Force Research","Success
","4,850 kg",Success,22 February 2019,01:45
69,F9 B5[268],KSC,Crew Dragon Demo-1,LEO,NASA (CCD),"Success
","12,055 kg",Success,2 March 2019,07:49
70,F9 B5,CCAFS,SpaceX CRS-17,LEO,NASA (CRS),"Success
","2,495 kg",Success,4 May 2019,06:48
71,F9 B5B1049.3,CCAFS,Starlink,LEO,SpaceX,"Success
","13,620 kg",Success,24 May 2019,02:30
72,F9 B5B1051.2,VAFB,RADARSAT Constellation,SSO,Canadian Space Agency (CSA),"Success
","4,200 kg",Success,12 June 2019,14:17
73,F9 B5B1056.2,CCAFS,SpaceX CRS-18,LEO,NASA (CRS),"Success
","2,268 kg",Success,25 July 2019,22:01
74,F9 B5B1047.3,CCAFS,AMOS-17,GTO,Spacecom,"Success
","6,500 kg",No attempt,6 August 2019,23:23
75,F9 B5,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,11 November 2019,14:56
76,F9 B5,CCAFS,SpaceX CRS-19,LEO,NASA (CRS),"Success
","2,617 kg",Success,5 December 2019,17:29
77,F9 B5B1056.3,CCAFS,JCSat-18,GTO,Sky Perfect JSATKacific 1,"Success
","6,956 kg",Success,17 December 2019,00:10
78,F9 B5,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,7 January 2020,02:19:21
79,F9 B5,KSC,Crew Dragon in-flight abort test,Sub-orbital,NASA (CTS)[497],"Success
","12,050 kg","No attempt
",19 January 2020,15:30
80,F9 B5,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,29 January 2020,14:07
81,F9 B5,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Failure,17 February 2020,15:05
82,F9 B5,CCAFS,SpaceX CRS-20,LEO,NASA (CRS),"Success
","1,977 kg",Success,7 March 2020,04:50
83,F9 B5,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Failure,18 March 2020,12:16
84,F9 B5,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,22 April 2020,19:30
85,F9 B5,KSC,Crew Dragon Demo-2,LEO,NASA (CCDev),"Success
","12,530 kg",Success,30 May 2020,19:22
86,F9 B5,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 June 2020,01:25
87,F9 B5,CCAFS,Starlink,LEO,SpaceXPlanet Labs,"Success
","15,410 kg",Success,13 June 2020,09:21
88,F9 B5,CCAFS,GPS III,MEO,U.S. Space Force[530],"Success
","4,311 kg",Success,30 June 2020,20:10:46
89,F9 B5B1058.2,CCAFS,ANASIS-II,GTO,Republic of Korea Army,"Success
","5,000–6,000 kg",Success,20 July 2020,21:30
90,F9 B5,KSC,Starlink,LEO,SpaceXSpaceflight Industries (BlackSky),"Success
","14,932 kg",Success,7 August 2020,05:12
91,F9 B5B1049.6,CCAFS,Starlink,LEO,SpaceXPlanet Labs,"Success
","~15,440 kg",Success,18 August 2020,14:31
92,F9 B5,CCAFS,SAOCOM 1B,SSO,CONAEPlanetIQTyvak,"Success
","3,130 kg",Success,30 August 2020,23:18
93,F9 B5B1060.2,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,3 September 2020,12:46:14
94,F9 B5B1058.3,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,6 October 2020,11:29:34
95,F9 B5B1051.6,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,18 October 2020,12:25:57
96,F9 B5,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,24 October 2020,15:31:34
97,F9 B5,CCAFS,GPS III,MEO,USSF,"Success
","4,311 kg",Success,5 November 2020,23:24:23
98,F9 B5,KSC,Crew-1,LEO,NASA (CCP)[497],"Success
","~12,500 kg",Success,16 November 2020,00:27
99,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),LEO,NASA / NOAA / ESA / EUMETSAT,"Success
","1,192 kg",Success,21 November 2020,17:17:08
100,F9 B5 ♺,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,25 November 2020,02:13
101,F9 B5 ♺,KSC,SpaceX CRS-21,LEO,NASA (CRS),"Success
","2,972 kg",Success,6 December 2020,16:17:08
102,F9 B5 ♺,CCSFS,SXM-7,GTO,Sirius XM,"Success
","7,000 kg",Success,13 December 2020,17:30:00
103,F9 B5 ♺,KSC,NROL-108,LEO,NRO,"Success
",C,Success,19 December 2020,14:00:00
104,F9 B5,CCSFS,Türksat 5A,GTO,Türksat,"Success
","3,500 kg",Success,8 January 2021,02:15
105,F9 B5B1051.8,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,20 January 2021,13:02
106,F9 B5B1058.5,CCSFS,Transporter-1,SSO,Various,"Success
","~5,000 kg",Success,24 January 2021,15:00
107,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 February 2021,06:19
108,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Failure,16 February 2021,03:59:37
109,F9 B5 ♺,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 March 2021,08:24
110,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,11 March 2021,08:13:29
111,F9 B5 ♺,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,14 March 2021,10:01
112,F9 B5B1060.6,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,24 March 2021,08:28
113,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,7 April 2021,16:34
114,F9 B5B1061.2,KSC,Crew-2,LEO,NASA (CTS)[497],"Success
","~13,000 kg",Success,23 April 2021,9:49
115,F9 B5B1060.7,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,29 April 2021,03:44
116,F9 B5B1049.9,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 May 2021,19:01
117,F9 B5B1051.10,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,9 May 2021,06:42
118,F9 B5B1058.8,KSC,Starlink,LEO,SpaceX Capella Space and Tyvak,"Success
","~14,000 kg",Success,15 May 2021,22:56
119,F9 B5B1063.2,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,26 May 2021,18:59
120,F9 B5B1067.1,KSC,SpaceX CRS-22,LEO,NASA (CRS),"Success
","3,328 kg",Success,3 June 2021,17:29
121,F9 B5,CCSFS,SXM-8,GTO,Sirius XM,"Success
","7,000 kg",Success,6 June 2021,04:26
